Precision,Batch Size,Peak VRAM (MB),Latency (ms/batch),Throughput (Patches/sec),Accuracy (%),Status
PyTorch,16,4607.96,8.76,1826.82,95.20,OK
PyTorch,32,4677.51,11.06,2892.19,95.20,OK
PyTorch,64,4679.32,22.21,2881.86,95.20,OK
PyTorch,128,4690.05,45.32,2824.39,95.20,OK
PyTorch,256,4693.05,89.52,2859.78,95.20,OK
PyTorch,512,4942.54,178.97,2860.78,95.20,OK
FP32,16,4778.84,2.83,5659.40,95.20,OK
FP32,32,4780.20,5.29,6044.52,95.20,OK
FP32,64,4828.83,10.47,6115.00,95.20,OK
FP32,128,4837.30,21.49,5957.59,95.20,OK
FP32,256,4863.71,41.86,6115.57,95.20,OK
FP32,512,N/A,N/A,N/A,N/A,Engine Not Found
FP16,16,4870.54,1.82,8787.16,95.20,OK
FP16,32,4872.41,3.31,9674.40,95.20,OK
FP16,64,4872.72,6.20,10323.64,93.87,OK
FP16,128,4873.18,13.22,9683.21,95.20,OK
FP16,256,4886.61,24.21,10575.18,95.20,OK
FP16,512,4890.38,49.17,10412.03,93.96,OK
INT8,16,4891.62,1.85,8657.12,95.21,OK
INT8,32,4876.68,3.33,9618.65,95.23,OK
INT8,64,4878.83,6.31,10139.76,95.21,OK
INT8,128,4879.54,12.95,9880.45,95.20,OK
INT8,256,4883.78,23.91,10707.57,95.20,OK
INT8,512,N/A,N/A,N/A,N/A,Engine Not Found
